model,eval_set,R2,MAE,RMSE,MAPE,MdAPE
LightGBM|B-tuned+district-LOG,full_June,0.82,191650.5834,651555.9812,12.4537,8.0581
RandomForest|A-raw,full_June,0.5521,231221.0128,1027971.0531,14.5831,8.0788
RandomForest|A+SchoolDistrict,full_June,0.5525,229912.128,1027442.7182,14.4722,8.1003
RandomForest|A-log,full_June,0.5432,230597.4204,1038151.5018,13.7486,8.1196
Ensemble|stack-ridge,full_June,0.6239,209132.8447,941937.4126,13.5087,8.1369
RandomForest|A+FE+SchoolDistrict,full_June,0.5502,232975.3791,1030098.5028,14.5835,8.1752
Ensemble|blend-tuned,full_June,0.6129,211392.1148,955678.8355,13.3076,8.217
RandomForest|A+FE,full_June,0.5486,234878.7072,1031955.7374,14.7568,8.2702
RandomForest|B-leaf5,full_June,0.5427,237572.1411,1038659.6405,14.9283,8.349
Ensemble|stack4-log,full_June,0.802,191992.5287,683370.6422,13.3805,8.3503
LightGBM|B-tuned+district,full_June,0.6063,216439.6597,963789.1824,13.7883,8.592
RandomForest|C-tuned,full_June,0.5177,246840.91,1066709.2619,15.9771,8.6292
XGBoost|B-tuned+district,full_June,0.5957,217581.6609,976678.2959,13.8088,8.6993
LightGBM|B-tuned,full_June,0.6048,219109.4954,965587.9224,13.9641,8.7057
XGBoost|B-tuned,full_June,0.5978,219937.3089,974034.2679,14.1652,8.7982
CatBoost|B-tuned,full_June,0.6224,220117.9077,943799.3992,14.1029,8.8682
CatBoost|A,full_June,0.604,231533.5839,966539.36,14.8888,9.5595
LightGBM|A,full_June,0.5811,231101.7128,994050.045,15.0156,9.5795
DecisionTree|C-leaf5,full_June,0.5313,272225.6791,1051561.323,17.5721,10.4794
DecisionTree|A-raw,full_June,0.5096,286737.5786,1075557.0101,18.346,10.8856
DecisionTree|A-log,full_June,0.5298,282365.6532,1053166.9145,18.144,10.9091
XGBoost|A,full_June,0.5654,253037.0899,1012532.1524,17.2783,11.1903
DecisionTree|B-depth,full_June,0.501,309775.084,1085013.8327,22.6204,13.7774
LinearRegression|baseline,full_June,0.5226,309885.3991,1061299.4685,25.6566,16.0054
RandomForest|A-log,trimmed_1_99,0.8769,157727.7216,309173.27,11.5557,7.8594
RandomForest|A-raw,trimmed_1_99,0.879,159770.4703,306422.0441,12.154,7.8709
RandomForest|A+SchoolDistrict,trimmed_1_99,0.8814,158374.519,303464.4704,12.0802,7.8844
LightGBM|B-tuned+district-LOG,trimmed_1_99,0.8787,152848.3534,306828.8547,11.3162,7.9113
Ensemble|stack-ridge,trimmed_1_99,0.9064,146914.7102,269627.8922,11.7206,7.9254
RandomForest|A+FE+SchoolDistrict,trimmed_1_99,0.8766,161195.9481,309499.8764,12.2757,7.9627
Ensemble|blend-tuned,trimmed_1_99,0.9043,147136.3157,272502.3432,11.4748,8.0091
RandomForest|A+FE,trimmed_1_99,0.8744,162914.004,312214.3605,12.4092,8.0342
RandomForest|B-leaf5,trimmed_1_99,0.8699,164909.2869,317816.0898,12.4763,8.1186
Ensemble|stack4-log,trimmed_1_99,0.8905,151124.5933,291580.3227,11.9201,8.1781
RandomForest|C-tuned,trimmed_1_99,0.8629,170299.438,326238.1448,13.3273,8.3913
LightGBM|B-tuned+district,trimmed_1_99,0.8989,152156.9604,280175.6539,11.9322,8.4216
XGBoost|B-tuned+district,trimmed_1_99,0.9008,151510.0057,277504.2806,12.0152,8.4831
LightGBM|B-tuned,trimmed_1_99,0.897,154165.7866,282789.5806,12.0278,8.4913
XGBoost|B-tuned,trimmed_1_99,0.8981,153906.5096,281263.9178,12.1775,8.5885
CatBoost|B-tuned,trimmed_1_99,0.8936,157354.6155,287342.9318,12.2773,8.6467
CatBoost|A,trimmed_1_99,0.8813,166396.685,303587.675,13.019,9.3445
LightGBM|A,trimmed_1_99,0.8889,163232.5841,293684.0507,12.9778,9.3746
DecisionTree|C-leaf5,trimmed_1_99,0.8143,201957.1405,379727.0044,15.2863,10.1793
DecisionTree|A-raw,trimmed_1_99,0.7816,216745.5586,411783.8998,16.2942,10.5525
DecisionTree|A-log,trimmed_1_99,0.7876,212406.994,406104.2646,16.0323,10.596
XGBoost|A,trimmed_1_99,0.8676,183944.4295,320562.1724,15.1875,10.9371
DecisionTree|B-depth,trimmed_1_99,0.7817,236598.0403,411647.5454,19.7788,13.422
LinearRegression|baseline,trimmed_1_99,0.8152,235407.0916,378751.8186,22.6517,15.6547
