week,model,version,target,train_months,test_month,n_features,train_r2,test_r2,change_note
4,LinearRegression,baseline,raw(ClosePrice),11,2026-06,1185,0.8158,0.8152,"canonical baseline: raw-linear, dollar R^2, train 1/99 trimmed test"
5,DecisionTree,A-log,raw(ClosePrice),11,2026-06,1185,0.9999,0.7876,"unconstrained defaults, log target"
5,DecisionTree,A-raw,raw ClosePrice,11,2026-06,1185,0.9999,0.7816,"unconstrained defaults, raw target"
5,DecisionTree,B-depth,raw(ClosePrice),11,2026-06,1185,0.8588,0.7817,"max_depth=12 chosen from recent months pre Test month, raw target"
5,DecisionTree,C-leaf5,raw(ClosePrice),11,2026-06,1185,0.9416,0.8143,"min_samples_leaf=5, raw target"
5,RandomForest,A-log,raw(ClosePrice),11,2026-06,1185,0.9812,0.8769,"unconstrained defaults = 100 trees, log target"
5,RandomForest,A-raw,raw ClosePrice,11,2026-06,1185,0.984,0.879,"unconstrained defaults, raw target"
5,RandomForest,B-leaf5,raw(ClosePrice),11,2026-06,1185,0.9413,0.8699,"100 trees, min_samples_leaf=5, raw target"
5,RandomForest,C-tuned,raw(ClosePrice),11,2026-06,1185,0.9824,0.8629,"GridSearchCV/months(4), raw target, best={'max_features': 'sqrt', 'min_samples_leaf': 1}, n_estimators=200"
6,RandomForest,A+SchoolDistrict,raw(ClosePrice),11,2026-06,1547,0.984,0.8814,RF + School District
6,RandomForest,A+FE,raw(ClosePrice),11,2026-06,1191,0.9835,0.8744,RF + engineered ratios
6,RandomForest,A+FE+SchoolDistrict,raw(ClosePrice),11,2026-06,1553,0.9835,0.8766,RF + engineered + district
7,LightGBM,A,raw(ClosePrice),11,2026-06,1185,0.922,0.8889,"defaults: 400 trees, lr=0.05, num_leaves=63, raw target"
7,LightGBM,B-tuned,raw(ClosePrice),11,2026-06,1185,0.9501,0.897,"month-blocked(4) tuned, best={'learning_rate': 0.15, 'n_estimators': 1200, 'num_leaves': 31}, raw target"
7,XGBoost,A,raw(ClosePrice),11,2026-06,1185,0.9015,0.8676,"defaults: 600 trees, lr=0.05, max_depth=6, hist, raw target"
7,XGBoost,B-tuned,raw(ClosePrice),11,2026-06,1185,0.9551,0.8981,"randomized(12)+ES@1999, best={'colsample_bytree': np.float64(0.8199582915145766), 'learning_rate': np.float64(0.03559987958563385), 'max_depth': 8, 'min_child_weight': 3, 'subsample': np.float64(0.8147385973801488)}, hist, raw target"
7,CatBoost,A,raw(ClosePrice),11,2026-06,22,0.9001,0.8813,"native cat (['PostalCode', 'City', 'CountyOrParish', 'SchoolDistrict']), 1000 trees, lr=0.05, depth=6, raw target"
7,CatBoost,B-tuned,raw(ClosePrice),11,2026-06,22,0.9211,0.8936,"native, randomized(depth/lr/l2), 30000-row search + full refit, ES@1667, best={'depth': 5, 'l2_leaf_reg': np.float64(3.5077042112439023), 'learning_rate': np.float64(0.1182998158400237)}"
7,LightGBM,B-tuned+district,raw(ClosePrice),11,2026-06,1547,0.9506,0.8989,tuned params on og+district (ablation best config)
7,XGBoost,B-tuned+district,raw(ClosePrice),11,2026-06,1547,0.9564,0.9008,tuned params on og+district (ablation best config)
7,Ensemble,blend-tuned,raw(ClosePrice),11,2026-06,1547,0.9465,0.9043,"weighted blend (lgb,xgb,cat)=(np.float64(0.35), np.float64(0.25), np.float64(0.4)) on +district, weights fit on May val only"
7,Ensemble,stack-ridge,raw(ClosePrice),11,2026-06,1547,0.946,0.9064,"Ridge meta on May val preds, +district base, coefs=[0.358 0.267 0.412]"
8,LightGBM,B-tuned+district-rawUNTRIM-control,raw(ClosePrice),11,2026-06,1547,0.9594,0.8464,CONTROL: raw target on untrimmed train; isolates train-trim effect from log-target effect
8,LightGBM,B-tuned+district-LOG,log(ClosePrice),11,2026-06,1547,0.918,0.8787,LOG target on tuned feature_d config + fixes untrimmed luxury-tail collapse
8,Ensemble,stack4-log,raw(ClosePrice),11,2026-06,1547,0.8929,0.8905,all in one model but fails due to overweighting
8,LightGBM,B-tuned +district -control,raw(ClosePrice),11,2026-06,1547,0.9594,0.8464,CONTROL: raw target on untrimmed train; isolates train-trim effect from log-target effect
8,LightGBM,B-tuned+district-LOG-trimtrain,log(ClosePrice),11,2026-06,1547,0.9392,0.8977,best simple single for trimmed contract
